"KK25: PINNAVEEKOGUDESSE JUHITUD HEITVEE REOSTUSKOORMUS | Maakond, Aasta ning Reostuskoormuse näitaja"

"Maakond","Aasta","Bioloogiline hapnikutarve (BHT7)","Keemiline hapnikutarve (KHT-Cr)","Heljum","Üldlämmastik","Üldfosfor","Naftasaadused"
"Harju maakond","2012",221,2477,727,472,50,..
"Harju maakond","2013",237,2003,543,413,28,..
"Harju maakond","2014",199,2129,506,429,26,..
"Harju maakond","2015",255,2242,587,420,25,..
"Harju maakond","2016",332,2747,716,439,29,..
"Harju maakond","2017",358,2678,784,476,28,..
"Harju maakond","2018",336,2585,631,415,24,..
"Harju maakond","2019",355,2618,707,432,25,..
"Harju maakond","2020",271,2660,630,430,25,..
"Harju maakond","2021",279,2378,579,366,23,..
"Harju maakond","2022",234,2444,536,346,22,..
"Hiiu maakond","2012",2,12,23,3,0,..
"Hiiu maakond","2013",2,10,18,5,0,..
"Hiiu maakond","2014",1,5,19,6,0,..
"Hiiu maakond","2015",2,5,22,6,0,..
"Hiiu maakond","2016",2,8,34,6,0,..
"Hiiu maakond","2017",1,6,20,2,0,..
"Hiiu maakond","2018",3,27,3,3,0,..
"Hiiu maakond","2019",3,58,6,4,0,..
"Hiiu maakond","2020",3,55,6,3,0,..
"Hiiu maakond","2021",3,60,5,4,0,..
"Hiiu maakond","2022",1,9,3,4,0,..
"Ida-Viru maakond","2012",214,2040,1539,746,15,..
"Ida-Viru maakond","2013",190,1667,1244,372,10,..
"Ida-Viru maakond","2014",186,2131,1177,336,10,..
"Ida-Viru maakond","2015",143,1771,1004,255,7,..
"Ida-Viru maakond","2016",208,2171,1347,389,8,..
"Ida-Viru maakond","2017",314,2716,1182,424,8,..
"Ida-Viru maakond","2018",305,3589,1040,386,8,..
"Ida-Viru maakond","2019",324,3967,918,435,9,..
"Ida-Viru maakond","2020",287,3290,731,356,14,..
"Ida-Viru maakond","2021",290,2455,885,421,7,..
"Ida-Viru maakond","2022",257,2775,962,433,8,..
"Jõgeva maakond","2012",16,75,24,17,2,..
"Jõgeva maakond","2013",21,50,47,44,2,..
"Jõgeva maakond","2014",15,137,51,16,2,..
"Jõgeva maakond","2015",13,217,39,17,2,..
"Jõgeva maakond","2016",14,91,33,14,2,..
"Jõgeva maakond","2017",14,143,48,15,1,..
